DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,FEX_C,DPTO,ANO,MES,PERIODO,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,P5220,P5220S1,P6008,P6007,P6007S1,P4000,P4010,P4020,P4030S1,P4030S1A1,P4030S2,P4030S3,P4030S4,P4030S4A1,P4030S5,P4040,REGIS,P6006
4671877,1,1,1,17,1,201.66497484,17,2018,07,201807,2,1,1,1,1,1,1,3,3,,,,600000,2,2,1,1,1,1,1,2,2,1,1,2,2,1,2,2,2,1,2,1,2,1,1,1,2,,2,1,4,1,4,1,1,1,2,1,1,01,
4671878,1,1,1,17,1,257.55602689,17,2018,07,201807,3,1,1,1,1,1,1,3,3,,,,350000,2,1,2,1,1,1,1,2,2,2,1,2,1,2,2,2,2,1,1,2,2,1,2,3,2,,2,1,3,1,3,1,1,1,2,1,1,01,
4671879,1,1,1,17,1,218.21001847,17,2018,07,201807,6,1,1,1,1,1,1,3,1,,280000000,800000,,1,1,2,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2,,2,1,4,1,3,1,1,1,2,1,1,01,
4671880,1,1,1,17,1,243.30233247,17,2018,07,201807,3,2,1,1,1,1,1,3,3,,,,750000,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,2,1,2,2,2,1,2,3,2,,2,1,4,1,4,1,1,1,2,1,1,01,
4671881,1,1,1,17,1,143.1472401,17,2018,07,201807,4,3,1,1,1,1,1,3,3,,,,700000,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,1,4,5,2,,2,1,4,1,4,1,1,1,2,1,1,01,
4671882,1,1,1,17,1,239.01557367,17,2018,07,201807,4,3,1,1,1,1,1,3,4,,,500000,,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,1,2,1,3,4,2,,2,1,4,1,3,1,1,1,2,1,1,01,
4671883,1,1,1,17,1,276.49438523,17,2018,07,201807,5,3,1,1,1,1,1,3,1,,130000000,1000000,,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1,5,5,2,,2,1,4,1,4,1,1,1,2,1,1,01,
4671884,1,1,1,17,1,170.16783787,17,2018,07,201807,4,2,1,1,1,1,1,3,1,,160000000,800000,,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,2,2,2,1,1,1,1,2,2,,2,1,4,1,4,1,1,1,2,1,1,01,
4671885,1,1,1,17,1,207.06556453,17,2018,07,201807,5,2,1,1,1,1,1,3,1,,200000000,900000,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,3,3,2,,2,1,4,1,4,1,1,1,2,1,1,01,
4671888,1,1,1,17,1,201.66497484,17,2018,07,201807,3,1,1,1,1,1,1,3,3,,,,450000,2,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,1,1,2,,2,1,4,1,4,1,1,1,2,1,1,01,
