DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,AREA,CLASE,FEX_C,DPTO,ANO,MES,PERIODO,REGIS,P6290,P6230,P6240,P6250,P6260,P6270,P6280,P6300,P6310,P6320,P6330,P6340,P6350,P6351,RABAND,FT
4731583,1,1,1,05,1,832.21966171,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731583,1,2,1,05,1,832.21966171,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731583,1,3,1,05,1,832.21966171,05,2018,10,201810,50,,3,1,,,,,,,,,,,,,1
4731585,1,1,1,05,1,1023.456796,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731585,1,2,1,05,1,1023.456796,05,2018,10,201810,50,,2,4,2,2,2,2,2,,,,,,,,1
4731586,1,1,1,05,1,916.65465243,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731586,1,2,1,05,1,916.65465243,05,2018,10,201810,50,,2,3,1,,,,,,,,,,,,1
4731586,1,3,1,05,1,916.65465243,05,2018,10,201810,50,,3,3,2,2,2,2,2,,,,,,,,1
4731587,1,1,1,05,1,1162.9264489,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731587,1,2,1,05,1,1162.9264489,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731587,1,4,1,05,1,1162.9264489,05,2018,10,201810,50,,4,1,,,,,,,,,,,,,1
4731589,1,1,1,05,1,1210.9516895,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731589,1,2,1,05,1,1210.9516895,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731590,1,1,1,05,1,672.83038206,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731590,1,2,1,05,1,672.83038206,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731590,1,3,1,05,1,672.83038206,05,2018,10,201810,50,,3,1,,,,,,,,,,,,,1
4731590,1,4,1,05,1,672.83038206,05,2018,10,201810,50,,4,1,,,,,,,,,,,,,1
4731591,1,1,1,05,1,1130.0043227,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731591,1,2,1,05,1,1130.0043227,05,2018,10,201810,50,,2,6,2,2,2,2,2,,,,,,,,1
4731591,1,3,1,05,1,1130.0043227,05,2018,10,201810,50,,3,1,,,,,,,,,,,,,1
4731592,1,1,1,05,1,1285.0525405,05,2018,10,201810,50,,1,4,2,2,2,2,2,,,,,,,,1
4731592,1,2,1,05,1,1285.0525405,05,2018,10,201810,50,,2,4,2,2,2,2,2,,,,,,,,1
4731592,1,3,1,05,1,1285.0525405,05,2018,10,201810,50,,3,6,2,2,2,2,2,,,,,,,,1
4731593,1,1,1,05,1,1511.9486385,05,2018,10,201810,50,,1,6,2,2,2,2,2,,,,,,,,1
4731593,1,2,1,05,1,1511.9486385,05,2018,10,201810,50,,2,4,2,2,2,2,2,,,,,,,,1
4731593,1,3,1,05,1,1511.9486385,05,2018,10,201810,50,,3,3,2,2,2,2,2,,,,,,,,1
4731594,1,1,1,05,1,680.91368476,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731594,1,2,1,05,1,680.91368476,05,2018,10,201810,50,,2,1,,,,,,,,,,,,,1
4731595,1,1,1,05,1,1168.3893433,05,2018,10,201810,50,,1,1,,,,,,,,,,,,,1
4731595,1,2,1,05,1,1168.3893433,05,2018,10,201810,50,,2,4,2,2,2,2,2,,,,,,,,1
4731596,1,1,1,05,1,1327.6148868,05,2018,10,201810,50,,1,6,2,2,2,2,2,,,,,,,,1
